absolute_time_point,absolute_change,mean_of_mean_gradient,max_of_max_gradient,skewness,kurtosis,mean_gradient_mean,mean_gradient_std,mean_gradient_min,mean_gradient_max,max_gradient_mean,max_gradient_std,max_gradient_min,max_gradient_max,label
2.2813559322,0.7412060302,0.001650484,0.0280672959,-0.9680619018,-0.4110222955,0.0016504840213592,0.0020847337870104,0.0,0.0105252359,0.0049551613252427,0.005817932147358,0.0,0.0280672959,0
2.4081632653,0.765625,0.0017108065,0.0327447567,-2.5526289997,5.5368629415,0.0017108064599999,0.0024901240451062,0.0,0.0089032579,0.00654066152,0.0101934978322433,0.0,0.0327447567,1
2.62,0.7936507937,0.0009598594,0.0306603774,-2.0481568148,2.6931164686,0.0009598594076923,0.0019374570488208,0.0,0.0073113208,0.0036793726153846,0.008159679591731,0.0,0.0306603774,1
1.7171717172,0.8284518828,0.0025900331,0.0464527752,-1.4501019664,1.3640974784,0.0025900330609756,0.0030495390619945,0.0,0.0143200284,0.0109512341512195,0.0118235001666015,0.0,0.0464527752,0
0.9545454545,0.9565217391,0.0,0.0,-1.3188188162,0.2949570399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.8484848485,0.8461538462,0.0007867547,0.011130137,-2.4443949459,4.8693585615,0.0007867546583333,0.0007814950035439,0.0,0.0021332763,0.0033747146166666,0.0034316472777159,0.0,0.011130137,1
1.5272727273,0.8461538462,0.0009539145,0.0917967358,-2.6389345659,9.2422719357,0.0009539144749999,0.000966384111027,0.0,0.0039062441,0.00748342954,0.0200213786817579,0.0,0.0917967358,1
2.6396396396,0.8043478261,0.0021189492,0.0209452202,-0.9819772225,-0.1125246977,0.0021189492444444,0.0016648753101002,0.0,0.0077295172,0.0069394717,0.0047903452883752,0.0,0.0209452202,0
3.2222222222,0.8571428571,0.0023369515,0.0159875025,-1.0384582113,-0.3152337549,0.0023369515333333,0.0024948815589984,0.0,0.0049643403,0.0072015777,0.0081106519988737,0.0,0.0159875025,1
2.4358974359,0.829787234,0.0003716711,0.00308888,-2.2373533551,3.7689396263,0.0003716711,0.000306151530823,0.0,0.0008178889,0.0016482330374999,0.0012359980418953,0.0,0.00308888,1
1.8592964824,0.77734375,0.0028699923,0.0562482934,-1.1053222166,0.350588635,0.0028699922561403,0.0033821495897483,0.0,0.0182618419,0.0107088281350877,0.0126825523680715,0.0,0.0562482934,0
2.0666666667,0.7894736842,0.0008413964,0.0085494242,-2.1274323848,3.2203016876,0.0008413964333333,0.0006290325364818,0.0,0.0021514873,0.0028704161583333,0.0026011957647356,0.0,0.0085494242,1
1.7323943662,0.9220779221,0.0001466204,0.0028508303,-2.7115643506,6.2247149219,0.0001466203666666,0.0001814535705977,0.0,0.0004157461,0.0011225144333333,0.0012288265075695,0.0,0.0028508303,1
1.7446808511,0.9038461538,1.42592e-05,0.0007842578,-2.1896576342,3.5577877673,1.425924e-05,3.18846299474841e-05,0.0,7.12962e-05,0.00015685156,0.0003507307505368,0.0,0.0007842578,1
